categoria;Id;pregunta;a;b;c;d;respuesta
1;1;Que dia se celebra la independencia de Colombia?;20 de julio;7 de agosto;11 de noviembre;24 de mayo;a
1;2;Cual es la capital de Antioquia?;Neiva;Medellin;Bogota;Cali;b
1;3;Cual de los siguientes colombianos fue el ganador del premio nobel de literatura en 1982?;Gabriel Garcia Marquez;Jose Eustacio Rivera;Rafael Pombo;Julio Verne;a
1;4;Cual es el planeta mas grande de nuestro sistema solar?;Saturno;Mercurio;Jupiter;Marte;c
1;5;Cuantos huesos tiene en total el cuerpo humano?;127;300;150;206;d
2;1;Cual es la unidad funcional mas pequena de cualquier organismo?;Celula;Mitocondria;Molecula;Atomo;a
2;2;Que significan las siglas ADN?;Acido ribonucleico;Acido desoxiribonucleico;Acido descompuesto Neutro;Acido de Nitrato;b
2;3;Como se llama el pigmento verde que se encuentra en las plantas?;Cloroformo;Clorofila;Cloro;Cloruro;b
2;4;Como se llama la constitucion genetica de un individuo?;Genoma;Genotipo;Gen;Fenotipo;b
2;5;Cual es la ciencia que estudia los tejidos organicos de los seres vivos?;Ortopedia;Musculos;Biologia;Histologia;d
3;1;Cual de las siguientes magnitudes se mide en PSI? ;Presion;Tension;Energia;Aceleracion;a
3;2;Segun la segunda ley de Newton, a que es propocional la fuerza?;Aceleracion;Velocidad;Altura;Profundidad;a
3;3;Como se llaman las particulas elementales sin masa que componen la luz?;Fotones;Neutrones;Fotoresistores;Joules;a
3;4;Que carga tienen los electrones?;Neutra;Negativa;No tienen;Positiva;b
3;5;Si se deja caer un cuerpo desde cierta altura, Que fuerza actua sobre el?;Normal;Inferior;Gravedad;Superior;c
4;1;A temperatura ambiente, Cual es el unico metal que esta en forma liquida?;Magnesio;Oro;Plata;Mercurio;d
4;2;Cual es el tercer gas mas comun encontrado en el aire que respiramos?;Oxigeno;Carbonico;Natural;Argon;d
4;3;Cual es el elemento quimico con menor peso atomico?;Mercurio;Oxigeno;Hidrogeno;Tantalio;c
4;4;Como se llama la capa mas externa de un atomo?;Capa superior;Capa covalente;Capa de valencia;Capa exterior;c
4;5;Que quimicos identificaron el polonio y el radio?;Pierre y Marie Curie;Dimitri Mendeleyev;Antoine Lavoisier;Linus Pauling;a
5;1;En Que ciudad vivian Romeo y Julieta?;Milan;Verona;Palermo;Roma;b
5;2;De quien estaba enamorado Hamlet?;Ofelia;Claudius;Polonio;Laertes;a
5;3;Cual fue la primera novela de Umberto Eco?;Baudolino;El nombre de la rosa;El pendulo de Faoucalt;Numero cero;b
5;4;"Que famoso escritor norteamericano escribio la obra ""El viejo y el mar""?";William Faulkner;Ernest Hemingway;Truman Capote;Ricardo Piglia;b
5;5;Que premio nobel de literatura nacio en Buenos Aires y murio en Paris?;Julio Cortazar;Jorge Luis Borges;Julio Verne;Ernesto Sabato;b
