Id;A;B;C;D
1;20 de julio;7 de agosto;11 de noviembre;24 de mayo
2;Neiva;Medellin;Bogota;Cali
3;Gabriel Garcia Marquez;Jose Eustacio Rivera;Rafael Pombo;Julio Verne
4;Saturno;Mercurio;Jupiter;Marte
5;127;300;150;206
6;Celula;Mitocondria;Molecula;Atomo
7;Acido ribonucleico;Acido desoxiribonucleico;Acido descompuesto Neutro;Acido de Nitrato
8;Cloroformo;Clorofila;Cloro;Cloruro
9;Genoma;Genotipo;Gen;Fenotipo
10;Ortopedia;Musculos;Biologia;Histologia
11;Presion;Tension;Energia;Aceleracion
12;Aceleracion;Velocidad;Altura;Profundidad
13;Fotones;Neutrones;Fotoresistores;Joules
14;Neutra;Negativa;No tienen;Positiva
15;Normal;Inferior;Gravedad;Superior
16;Magnesio;Oro;Plata;Mercurio
17;Oxigeno;Carbonico;Natural;Argon
18;Mercurio;Oxigeno;Hidrogeno;Tantalio
19;Capa superior;Capa covalente;Capa de valencia;Capa exterior
20;Pierre y Marie Curie;Dimitri Mendeleyev;Antoine Lavoisier;Linus Pauling
21;Milan;Verona;Palermo;Roma
22;Ofelia;Claudius;Polonio;Laertes
23;Baudolino;El nombre de la rosa;El pendulo de Faoucalt;Numero cero
24;William Faulkner;Ernest Hemingway;Truman Capote;Ricardo Piglia
25;Julio Cortazar;Jorge Luis Borges;Julio Verne;Ernesto Sabato
